"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","189","User Logout Visitcloud page","","Tue Jul 22 07:43:55 UTC 2025","failed","Tue Jul 22 07:43:55 UTC 2025","","logout to Visitcloud page","",""
"","49716","User Logs into Visitcloud page","","Tue Jul 22 07:43:02 UTC 2025","passed","Tue Jul 22 07:43:52 UTC 2025","","login to Visitcloud page","",""
