"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","171","User Logout Visitcloud page","","Mon Jul 21 13:49:42 UTC 2025","failed","Mon Jul 21 13:49:42 UTC 2025","","logout to Visitcloud page","",""
"","56228","User Logs into Visitcloud page","","Mon Jul 21 13:48:43 UTC 2025","passed","Mon Jul 21 13:49:39 UTC 2025","","login to Visitcloud page","",""
