"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","182","User Logout Visitcloud page","","Tue Jul 22 10:30:48 UTC 2025","failed","Tue Jul 22 10:30:48 UTC 2025","","logout to Visitcloud page","",""
"","55120","User Logs into Visitcloud page","","Tue Jul 22 10:29:50 UTC 2025","passed","Tue Jul 22 10:30:45 UTC 2025","","login to Visitcloud page","",""
