"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22137","@C167925 User Logs into Visitcloud page","","Wed Aug 20 04:26:06 UTC 2025","passed","Wed Aug 20 04:26:28 UTC 2025","","login to Visitcloud page","",""
"","12251","@C167928 User Logout Visitcloud page","","Wed Aug 20 04:26:31 UTC 2025","passed","Wed Aug 20 04:26:44 UTC 2025","","logout to Visitcloud page","",""
