"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","189","User Logout Visitcloud page","","Tue Jul 22 05:39:41 UTC 2025","failed","Tue Jul 22 05:39:41 UTC 2025","","logout to Visitcloud page","",""
"","56881","User Logs into Visitcloud page","","Tue Jul 22 05:38:41 UTC 2025","passed","Tue Jul 22 05:39:38 UTC 2025","","login to Visitcloud page","",""
