"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72288","User Logs into Visitcloud page","","Mon Jul 21 16:32:08 UTC 2025","failed","Mon Jul 21 16:33:21 UTC 2025","","login to Visitcloud page","",""
"","123","User Logout Visitcloud page","","Mon Jul 21 16:33:23 UTC 2025","failed","Mon Jul 21 16:33:23 UTC 2025","","logout to Visitcloud page","",""
