"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","User Logout Visitcloud page","","Mon Jul 21 15:18:56 UTC 2025","failed","Mon Jul 21 15:18:56 UTC 2025","","logout to Visitcloud page","",""
"","138369","User Logs into Visitcloud page","","Mon Jul 21 15:16:35 UTC 2025","passed","Mon Jul 21 15:18:53 UTC 2025","","login to Visitcloud page","",""
